"gene_id","marker_symbol","ensembl_id","feature_types","biotypes"
"MGI:1920713","Als2cr11","ENSMUSG00000047383","protein coding gene|protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1920713","Als2cr11","ENSMUSG00000072295","protein coding gene|protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1918359","Als2cr12","ENSMUSG00000047528","protein coding gene","protein-coding|protein_coding"
"MGI:1913144","Alyref2","ENSMUSG00000060244","protein coding gene","protein-coding|protein_coding"
"MGI:3026939","Amer3","ENSMUSG00000045174","protein coding gene","protein-coding|protein_coding"
"MGI:1196310","Angel2","ENSMUSG00000026634","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919963","Angptl1","ENSMUSG00000033544","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2442559","Ankar","ENSMUSG00000039342","protein coding gene","protein-coding|protein_coding"
"MGI:3045261","Ankmy1","ENSMUSG00000034212","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1925571","Ankrd23","ENSMUSG00000067653","protein coding gene","protein-coding|protein_coding"
"MGI:1914816","Ankrd39","ENSMUSG00000079610","protein coding gene","protein-coding|protein_coding"
"MGI:3045243","Ankrd44","ENSMUSG00000052331","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1921094","Ankrd45","ENSMUSG00000044835","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1098746","Ankzf1","ENSMUSG00000026199","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3052714","Ano7","ENSMUSG00000034107","protein coding gene","protein-coding|protein_coding"
"MGI:88035","Aox1","ENSMUSG00000063558","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1918974","Aox3","ENSMUSG00000064294","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3529596","Aox3l1","ENSMUSG00000079554","protein coding gene","protein-coding|protein_coding"
"MGI:1919122","Aox4","ENSMUSG00000038242","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1891304","Ap1s3","ENSMUSG00000054702","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98229","Apcs","ENSMUSG00000026542","protein coding gene","protein-coding|protein_coding"
"MGI:88050","Apoa2","ENSMUSG00000005681","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1918531","Apobec4","ENSMUSG00000055547","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3723449","Apol7d","ENSMUSG00000073652","protein coding gene","miscRNA|NOVEL_protein_coding|protein_coding"
"MGI:2664636","Aqp12","ENSMUSG00000045091","protein coding gene","protein-coding|protein_coding"
"MGI:2442988","Arfgef1","ENSMUSG00000067851","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2684948","Arhgap30","ENSMUSG00000048865","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2442507","Arhgef4","ENSMUSG00000037509","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2443039","Arid5a","ENSMUSG00000037447","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2445172","Arl4c","ENSMUSG00000049866","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1915974","Arl8a","ENSMUSG00000026426","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1926045","Armc9","ENSMUSG00000062590","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1923959","Arpc2","ENSMUSG00000006304","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1915021","Arpc5","ENSMUSG00000008475","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1929735","Asb1","ENSMUSG00000026311","protein coding gene","protein-coding|protein_coding"
"MGI:2655109","Asb18","ENSMUSG00000067081","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2652846","Asic4","ENSMUSG00000033007","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1917646","Asnsd1","ENSMUSG00000026095","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1334448","Aspm","ENSMUSG00000033952","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1098567","Astn1","ENSMUSG00000026587","protein coding gene","protein-coding|protein_coding"
"MGI:109384","Atf3","ENSMUSG00000026628","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1926157","Atf6","ENSMUSG00000026663","protein coding gene","protein-coding|protein_coding"
"MGI:1924290","Atg16l1","ENSMUSG00000026289","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1913865","Atg4b","ENSMUSG00000026280","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2138446","Atg9a","ENSMUSG00000033124","protein coding gene","protein-coding|protein_coding"
"MGI:1351352","Atic","ENSMUSG00000026192","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:88106","Atp1a2","ENSMUSG00000007097","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1351335","Atp1a4","ENSMUSG00000007107","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:88108","Atp1b1","ENSMUSG00000026576","protein coding gene","protein-coding|protein_coding"
"MGI:88111","Atp2b4","ENSMUSG00000026463","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2450548","Atp6v1g3","ENSMUSG00000026394","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1914864","Atp6v1h","ENSMUSG00000033793","protein coding gene","protein-coding|protein_coding"
"MGI:1347010","Avpr1b","ENSMUSG00000026432","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1924602","Axdnd1","ENSMUSG00000026601","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3612447","B020018G12Rik","ENSMUSG00000078184","protein coding gene","KNOWN_protein_coding|protein_coding|pseudo"
"MGI:1349461","B3galt2","ENSMUSG00000033849","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2389490","B3gat2","ENSMUSG00000026156","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2384394","B3gnt7","ENSMUSG00000079445","protein coding gene","protein-coding|protein_coding"
"MGI:1928767","B4galt3","ENSMUSG00000052423","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1891254","Bag2","ENSMUSG00000042215","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2441837","Bai3","ENSMUSG00000033569","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1328361","Bard1","ENSMUSG00000026196","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1925491","Batf3","ENSMUSG00000026630","protein coding gene","protein-coding|protein_coding"
"MGI:2385108","BC003331","ENSMUSG00000006010","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2448516","BC026585","ENSMUSG00000033488","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2672904","BC034090","ENSMUSG00000033722","protein coding gene","protein-coding|protein_coding"
"MGI:3590554","BC055324","ENSMUSG00000041406","protein coding gene","NOVEL_protein_coding|protein-coding|protein_coding"
"MGI:3584522","BC094916","ENSMUSG00000070501","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
